comment,positive,neutral,negative
Na na kan gmna kalu gini bosqu gler waduh kk anak baru lahir ingin huni rumah baru je lamanye,0,1,0
"saya jamin ikn bakalan mangkrak.dan gak bakalan di gunakan sbg ibunegara ri sampai thn 2030....
🎉🎉🎉🎉🎉❤❤❤❤❤
Ayo kita taruhan 1 jari.... 
Negara koruptor 😅😅😅😊",0,1,0
"Gundulmu! Yg mangkrak, kau jangan dugaan kira2 dari  jauh coba kau tinjau langsung disana",0,1,0
Munafil😂😂😂😂😂,0,1,0
Jjr emang ambil hasil kerja org,0,1,0
"Yg ngomong mangkrak ga mikir, kaya anak kecil",0,1,0
Untuk melindungi koruptor mass,0,1,0
Mensejahterakan pejabat😂,0,1,0
"Mangkrak itu klo seperti Meikarta. Bangunan  mewah sdh jadi megah,jalan lebar mulus  bagus ,semua modern canggih mewah,tapi ga ada orangnya. Entah salahnya dimana itu Meikarta.",1,0,0
IKN . UTANG NUMPUKK..,0,1,0
IKN  TENGGELAM.,0,1,0
Aku lebih suka jakarta tengelam dan bajir bagai mana reaksi orang orang klo dah laut sama daratan,0,1,0
Trs kan expedisi nya bos... Biar orang orang yg mencela tau diri biar yg d jakrta tengelam olem laut dan bajir karena salah tata ruang hampir g ada penyimpanan air hampir semua daratan,0,1,0
Hotelnya sepi,0,1,0
Itu bukan melindungi para pejabat2 negara... Tapi melindungi para korupsi2 negara. 😂😂😂.. bnyk tikusnya gak di ikn tu??? Karna tikus2 berdasi bakalan hadir ke ikn..😂😂😂,0,1,0
Mantap bangun dulu baru mikir,0,1,0
Kebanyakan berbicara tanpa berfikir terlebih dahulu,0,1,0
"Ini proyek besar harkat dan martabat Bangsa di pertaruhkan,tdk mungkin mangkrak",0,1,0
klo yg bilang mngkrrak itu harapan bgi pmbnci dan pnghmbat kmjuan bngsa,0,1,0
"'Steal....pemaksaan,biar penyakinan rakyat...'habis ini..,y mangkrak lagi...'Di bayar mahal kawan ini..'Namanya uang Jokowi udah Triliunan..,berapa pun di minta kawan ini pasti di penuhi..",0,1,0
❤❤❤❤❤❤❤❤❤,0,1,0
Omonganmu harus dipertanggung jawabkan,0,1,0
Coba sampe malam pasti kamu puas n takjub..😊,0,1,0
"yg mangkrak itu otak para pem
Benci IKN  itu fakta",0,1,0
Mudah-mudahan saja bisa ditempati secepatnya dan pegawai secepatnya dipindahkan ke IKN,0,1,0
Amin lepas kacamatamu  tu tuh  IKN  HIDUP PAK JOKOWI  ...,0,1,0
Mantaplah  ikn yg bilang  mangkrak itu  barisan sakit hati  lihat tuu,0,1,0
Bapak satpam yg ngawal sekelik ikham..,0,1,0
amazing membanggakan,1,0,0
Saya bisa senyum yg kerja di ikn 😊,0,1,0
Buat siapa bangunan itu pak. Gak pengaruh buat rakyat kecil. Yg susah  makan  lor   sekarang cari kerja aja susah  kenyataan itu pak. 😂😂😂,0,1,0
"Atasan pembangunan terlalu banyak korupsi..awal kerja tertib dan lancar gaji,..4 5 bulan kerja mulai dipersulit gaji ,dan jika gajian itu cair masi dicicil...kerja di target untuk gaji sulit..mending pulang😁",0,1,0
lKN lanjut trus,0,1,0
"IKN bukannya pusat pemerintah tapi   Ibu Negara ..... , Kalau setakat kantor baru siap , itu menunjukkan 5% peratus sahaja . Konten bodoh ...",0,1,0
"CIRI² PEMBENCI PEMERINTAHAN
1.TUKANG DEMO
2.RT 16% DAN RW 24%
😂😂😂",0,1,0
"Wah kalo belum jadi 100 persen semua.. Banyak orang yg pasti nyinyir.. Tetapi klo dah jadi 100 persen akan banyak org yg ikut banggga.. 

Pasti akan mewah padda waktunya... 
Menjadi tujuan wisata baru dan bergengsi dengan balutan mewah.. Pasti dengan sorotan lampu2 megah disetiap gedungnya dan sepanjang malamnya
Kelas internasional...",0,1,0
Itu cuman katantanya amin ra as yg mangkrak,0,1,0
Kepalamu yang mangkrak le,0,1,0
"Bener mas..jelaskan makhluk makhluk yg nyinyir suka fitnah adu domba  biar melek matane,masalahnya hati dan matanya mereka ini dah oicek tenan. (Bangsane dancuk Roy suryo roki gendeng amsari CS)",0,1,0
Bang itu aku teks bang jgan gak ya,0,1,0
IKN 👍👍👍👍👍👍👍👍👍👍❤👍,0,1,0
"Koko    Andy   hebat,   se.7. banget.   Koko  Andy.                 😮",0,1,0
Hotel wong koyo iku..wes ora mampu wong kereee,0,1,0
"Ahh mana , spill para  pekerjanya",0,1,0
"Hahahahhaa bagoooss laah, para pembenci setelah ada bukti pasti cari cari kurangnya yg lain, hatinya udah rusak dgn kedengkian ya bgtu ituuhhh hadeehh
Kasiaaannyaa para pendengki hidupnya ga pernah bisa tenang",0,1,0
Semoga pindahnya ibukota kami warga Kalimantan berharap banyak nya loker pekerja'an yg nggak harus menggunakan persyaratan harus good loking,1,0,0
Kadrun itu sebutan buat orang yg tak sejalan dgn para cebong,0,1,0
Ikam berapa di upah ba ulah video ...,0,1,0
😂😂seruuu kontenya😂😂❤,0,1,0
Konten  BUZER.,0,1,0
Cair mas,0,1,0
"Kacau nih 
Unggahan nya 
Mencemarkan 
Pemerintah",0,1,0
"Saya doakan rakyat Indonesia kaya raya semuanya, agar bumi dan bangunan di nusantara bisa dimiliki oleh rakyat Indonesia",0,1,0
"SURGANYA  NEGARA INDONESIA
NUSANTARA NAN ELOI,






    









       .",0,1,0
Dibantu jin untuk mbangun,0,1,0
KERAJAAN IKATAN KELUARGA PRABU GIBRAN NAGA BUMI RAKA SURA,0,1,0
"SIAPA BILANG IKN MANGKRAK "" BIADAB ITUUUU....IKN BARU DI GARAP TRUS ...TAMBAH MAJU ...DAN TAMBAH HEBAT ..YG BILANG MANGKRAK ITU BIADAB TDK PUNYA OTAK ...IBLIS LAKNAT ...",0,1,0
"6:50 
Untuk orang penting yagesya",0,1,0
Ada yang nginep nggak ??,0,1,0
"😅😅😅 sisi lainnya ngga dimasukin ya?
Mungkin anda calon stafsus berikutnya 😊",0,1,0
Wow keren,0,1,0
Hotel kok sepi 😂😂 mana lagi para pekerja proyek di ikn ? Kok sedikit banget yg kelihatan 😂😂,0,1,0
"Oke pembangunan masih di lanjutkan sesuai di video anda,tapi sangat jelas itu sudah mulai berkurang pekerjaan pembangunannya,dan bangunan"" yg ada pun blm ada 25 % selesai,dan banyak bangunan"" yg sdah tdak lanjut dikerjakan.maka penilaian masyarakat ikn lambat laun akan mangkrak.sekelas bangunan baru ibu kota negara yg bekerja cuma sgitu"" aja ? 😂😂😂 pantaslah target prabowo akhir 2028 dan yg pastinya gak jelas juga 😂😂 masjid yg targetnya sholat ied tahun ini aja blm ada 40 % 🤣🤣",0,1,0
Yg dagang ad yg belinya kaga,0,1,0
Cuma golongan orang sakit yg bilang pembangunan IKN mangkrak,0,1,0
"Kehidupan prekonomian rakyatnya sepi 😅😅😂😂😂 , bangunan bisa di poles seindah apapun 😅😂😅😂😅",0,1,0
"Ehh..kl sdh running ..% katanya msh ada hutang ke supplier², piye JaL..😂",0,1,0
"Bang,itu security yg elu bawa masih gak paham sikon disitu bang,😂😂😂asal nyerocos aj itu bang",0,1,0
Ikn politik kroptor biyar bisa nyolong uwang rakyat,0,1,0
Camera sepintas aj mangkrak brooo... Ngawur looo,0,1,0
SENIN DEPAN PINDAH SITU COK SUDAH SAYA BUAT PERENCANAAN DAN SUDAH ACC .,0,1,0
"Banyak isu2 tentang ikn bila mangkrak tangggung jawab pemerintah,tdk usah menyebarkan isu yg membuat gaduh",0,1,0
mantap boy....,0,1,0
Ternak siapa nih,0,1,0
PERTANYAAN GW KESANA NGINEP DI HOTEL ITU MAU LIAT APAA? ORANG PROJECT?,0,1,0
"GAK heran ternak Mulyono Buzzer nge'bacot doing,IKN bakalan mangkrak orang² Jakarta pada ogah kesana.",0,1,0
Itu aja pekarang nay semak Lo,0,1,0
"Puinteeerrr....ayi di brangus org "" dengki yg bilang IKN mangkrak, ngomong  ngawur pdhl ga tahu faktanya
Nah beri tantangan org"" dengki utk dtg ke IKN , berani gaaa...???",0,1,0
Ikn❤🎉,0,1,0
Yh nga paham,0,1,0
😂😂😂smangat maju. Jual....,0,1,0
Jd buzzer bwt d angkat jd stafsus kah 😂,0,1,0
"Itu bohong  infistor ada tdk, itu dana dari rakyat",0,1,0
Lhooo saya barusan fari IKN pembangunan sdg berjalan indahnya IKN nich semoga segera selesai ibu kota sgr Pindah pasti okee,0,1,0
"p. jokowi memang hebat, kkasihan yg bencinya",0,1,0
Sepi yh mas,0,1,0
Yg bilang mangkrak itu karena mau jalan2 kesana tak punya uang.jadi hanya bisa lihat konten Hoax😅,0,1,0
Sing ISO nginep neng hotel kui   hasil kuropsi,0,1,0
Haii prnbenci jokowi ygyiyir ikn mangkrak matamu kalau gk buta kupingmu kalau gk tuli lihat ini jangan jd tukang yiyir otakmu di pakai yg bener,0,1,0
Lain lagi hasil uang nipu lewat buka rekening baru anak murit sd derah alasan buat kartu kis apa yg terisi direkening kentut omon omon mulut basi mreka doang wsslm haaaa,0,1,0
Tarif permalam di Swiss HN IKN berapa bang saya planning mau ke sana 😂😂😂,0,1,0
Kalau my fren cina sp bangun pabrik sawit buat ngelunasi uang bangunan ke bni hanya pakai uang sampah jangkos aja bayar nya rp20miliar apa lagi bangun itu ikn hanya pakai uang oplosan aja masih berlebihan uang nya tar bangunan itu bisa diatas nama kan uang hasil apbn apbd biar uang kas pendapatan bumi habis dibilang terpakai bisa juga dibilang uang pinjaman dari luar negeri buat ngakali rakyat lah,0,1,0
"Apek lor IKN, penerus negri Atlantis yg terkubur di dlm lautan deket situ. Muncul kembali👍👍",0,1,0
"Orang2 yg sakit hati ajah, yg suka bilang ikn mangkrak hidup pak Jokowi pak Prabowo dan mas Gibran.",0,1,0
👍👍👍👍,0,1,0
Anaknya adiku mas andi sugar kerja di situ tetapi di proyek😊😊..nukan ASN mas Andi Alhamdulillah..wong ora duwe mas😊,0,1,0
"Berbanggalah masyarakat kalimatan bisa memiliki ikn jangan berpikir untuk diri sendiri"" berpikir untuk anak cucumu kedepan bisa kerja di ikn dan sebagai generasi penerus bangsa, berpikir positif jang punya pikiran negatif .",0,1,0
"Yg mendoakan mangkrak, paling : 
Pecatan, gerombolan sakit hati, anak abah,pribumi yg tersesat , imigran  yaman 
Karena biar pak Jokowi jelek, klo bagus terus 2029 ga ada lawan siapapun yg di dukung insya Allah menang❤❤❤❤❤❤",0,1,0
Ayo..mas bro ......naik. Drone..mas..biar yg  iri..semakin puanus..😊,0,1,0
mangkrak zer siapa mau nempatin,0,1,0
Yg bilang mangkrak itu ternak onta dan kebo sm mba yg sdh sekarang amin rais,0,1,0
SING BILANG MANGKRAK PASTI OTAKNYA WES SOMPLAK KAKEAN MINUM ARAK 🤣🤣🤣🤣🤣,0,1,0
Membanggakan,0,1,0
Trimakasih IKN banyak poperti  dikirim dari Jepara untuk IKN...,0,1,0
Dengan pindahnya ibu kota.dngan adanya.IKN.semoga semua rakyat kalimantan.bisa hdp lbih.berkah rezekinya amiin.sehat semua warga kalimantan all.,0,1,0
Semoga bumi kalimantan sllu d lindungi allah swt,0,1,0
"Mulut nya pake bahasa apa itu.. Bahasa Indonesia kah atau gak bahasa kalimantan timur.. 
Ingat mas yg komentator kalimantan ini bos.. 
Pake bahasa kami disini bukan bahasa jawa.. 
Ingat ya..",0,1,0
"Seperti nya yg mangkrak PUTRI NYA AMIN RAIS . yg sudah tidak laku di kancah POLITIK   , alias jadi gelandangan POLITIK MACAM   BAPAK NYA !",0,1,0
"Asli Suroboyo muedoook Mas e😂😂😂
Salam selalu sehat 
Sudah mewartakan IKN ❤❤❤",0,1,0
Yg bilang ikn banjir jadi kalau banjir kawasan Ikn banjir berarti Dengan ke tinggian 50 MTR artinya bpp tenggelam yg banjir IKN institut kesenian negara banjir 2 MTR,0,1,0
"Manteb cak ,IKN pasti sukses jadi ibu kota kebanggaan Indonesia",0,1,0
Selama dijalanan koq nggak ketemu truck truck pembawa material..seperti kebiasaan project berjalan.,0,1,0
❤❤IKN 👍👍,0,1,0
Mayan jadi buzzr 😅😅,0,1,0
Ncen asu seng ngomong ikn mangkrak 😂🙏 nak wes kalah Yo wes too legowo bantu pemerintah terpilih buat kebaikan Indonesia di masa depan ..,0,1,0
"Minimal bermanfaat buat penduduk setempat... 
Tapi.. Apa ia",0,1,0
ALHAMDULILLAH...,0,1,0
Kereeen proyek ikn sangatlah indah  manteep pak prabowo❤❤,0,1,0
"Ada pembangunan tapi tidak serame kemaren yang kerja,padahal progressnya masih jauh dari finishing... Gitu maksudnya...",0,1,0
Pembenci jokowi nangis dan malu lihat kenyataan ini,0,1,0
Top Jan joooossss,1,0,0
Ini pasti buzzerRp laknat yg membodohi rakyat Indonesia termunafik sejagat raya yg slh dbikn bnr yg bnr dbkin salah,0,1,0
Itu bukan Burung garuda tapi  patung binatang CODOT atau KALONG   bukan proyek mangkrak tapu proyek GAGAL,0,1,0
"Gue kemarin dapat kabar dri pendukung capres yg kalah, katanya ikn mangkrak😂😂😂, anehnya lagi gue yg bilang kya gtu orang dri jawa😂😂sedangkan gua orang kalimantan yg sering jalan2 ke ikn😂",0,1,0
"Swiss hotel di ikn rp 35 juta Rp per malam...kurang lebih US$2000,- per night..",0,1,0
Alhamdulillah jaya terus Indonesia,0,1,0
Berapa lama jalan jalan di IKN? Klo cuma seminggu,0,1,0
Chanel cap dobbol,0,1,0
Melindungi koruptor lebih tepat nya,0,1,0
Gosong ijasah mn tu..😅😅😅,0,1,0
Istana Batman 😁🤭,0,1,0
Not stagnation ? Ok. Good. But we dont see no guests around. How long can a hotel run when there is no guests ? Ask what the occupancy rate is.  Please !,1,0,0
"biasa nya mulyono dan ternak nya klo ngomong suka sebalik nya,,,,,😂😂😂😂😂",0,1,0
"Yang mengatakan IKN mangkrak kan orang orang yang sakit jiwa saja atau orang  gila , itu kata yg pasnya",0,1,0
Diperkirakan th 2030,0,1,0
Mangkrak krn duitnya sdh hbs utk membiayai MBG..disamping itu ada utang jth tempo 800 T...,0,1,0
